year,track_name,artist_name,artist_id
2023,All Caps,Madvillain,2aoFQUeHD1U7pL098lRsDU
2023,HOLIDAY,Turnstile,2qnpHrOzdmOo1S4ox3j17x
2023,Parabéns aos Envolvidos,Surra,5TM5LOr6mxQGod2sH9Uz9e
2023,Nublum,Macaco Bong,5N59uF54tNuJLYH7Y6sBTD
2023,Rapp Snitch Knishes,MF DOOM,2pAWfrd7WFF3XhVt9GooDL
2023,O Cobrador,Merdada,06k1ymDbt7FGnEqnvFqzJ2
2023,Rinha de Magnata,Mukeka di Rato,2WEABapGGzYET6Dq5tmIDi
2023,King Kunta,Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg
2023,Curls,Madvillain,2aoFQUeHD1U7pL098lRsDU
2023,TACA FOGO,Planet Hemp,3nasa4yabzvUeb6DzejDYU
2023,Real Thing,Turnstile,2qnpHrOzdmOo1S4ox3j17x
2023,SICKO MODE,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY
2023,Coco Mango Diced,Damu The Fudgemunk,7Mws36yO3takBR2WMsXOkM
2023,Walk,Pantera,14pVkFUHDL207LzLHtSA18
2023,Odara,Caetano Veloso,7HGNYPmbDrMkylWqeFCOIQ
2023,UNDERWATER BOI,Turnstile,2qnpHrOzdmOo1S4ox3j17x
2023,Lockjaw,King Geedorah,77AKJs9SJqxHXbPgtJPKRa
2023,More Soup,Moka Only,7G9ZUoEjbi5Z2bR5w60S0h
2023,War Inside My Head,Suicidal Tendencies,3WPKDlucMsXH6FC1XaclZC
2023,Aponte pro Espelho,Pense,5u7Nm1nRMAHWrzoVmCP7fo
2023,Baile funky,Raimundos,3CfJckVRuukdJSvK3r89yJ
2023,Sublime,Gal Costa,1b8kpp4DUwt1hWaxTiWQhD
2023,Bridge Burning,Foo Fighters,7jy3rLJdDQY21OgRLCZ9sD
2023,These Walls,Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg
2023,Doomsday,MF DOOM,2pAWfrd7WFF3XhVt9GooDL
2023,Siga,Dead Fish,7Lvg39k5XgXevGR767ikYI
2023,20 Questions,Lootpack,2D0NqDyt2R9RVar9MNs8kP
2023,O Mal Que Habita a Terra,Surra,5TM5LOr6mxQGod2sH9Uz9e
2023,Benzi Box,DANGERDOOM,0b3fYxnG6tlR0zLtBJd8DF
2023,Gila Monster,King Gizzard & The Lizard Wizard,6XYvaoDGE0VmRt83Jss9Sn
2023,Alright,Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg
2023,You Can't Bring Me Down,Suicidal Tendencies,3WPKDlucMsXH6FC1XaclZC
2023,The Hands of Doom (Skit),MF DOOM,2pAWfrd7WFF3XhVt9GooDL
2023,Autonomia,Dead Fish,7Lvg39k5XgXevGR767ikYI
2023,Andar na pedra,Raimundos,3CfJckVRuukdJSvK3r89yJ
2023,Bulls On Parade,Rage Against The Machine,2d0hyoQ5ynDBnkvAbJKORj
2023,Avesso,Lane,2a3F0qa0OGZlKOqUtBqBQp
2023,I Still Like You,ビクター ＭＫＩＩ,2lGJkXqpvUW77Kc6hcEIO8
2023,Meat Grinder,Madvillain,2aoFQUeHD1U7pL098lRsDU
2023,Cachaça,Mukeka di Rato,2WEABapGGzYET6Dq5tmIDi
2023,Último Romance,Los Hermanos,7Brxri4l1ATShikyHXsEr6
2023,Chave do Portão - Acústico Ao Vivo,Gastação Infinita,47LV5Aj9WLzNli3sWxXKFZ
2023,Bistro,Madvillain,2aoFQUeHD1U7pL098lRsDU
2023,Brilho da Noite,Djavan,5rrmaoBXZ7Jcs4Qb77j0YA
2023,T.L.C. (TURNSTILE LOVE CONNECTION),Turnstile,2qnpHrOzdmOo1S4ox3j17x
2023,Partido Alto - Ao Vivo,Cássia Eller,10naVTwNjE50daQVrN0bXh
2023,Hoe Cakes,MF DOOM,2pAWfrd7WFF3XhVt9GooDL
2023,Wesley's Theory,Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg
2023,Anti-Matter,King Geedorah,77AKJs9SJqxHXbPgtJPKRa
2023,Carne,Mukeka di Rato,2WEABapGGzYET6Dq5tmIDi
2023,It Ain't Nuttin',The Herbaliser,1O7aMVbDeSXY2LiVBhb13w
2023,Jaya,BRAZA,5F0iFhw7bZE7a8INjualJn
2023,Pitando no Kombão,Raimundos,3CfJckVRuukdJSvK3r89yJ
2023,Ande de Skate e Destrua,Gritando HC,19XpD8usAYOdO3hwmQ06i4
2023,Kon Queso,MF DOOM,2pAWfrd7WFF3XhVt9GooDL
2023,Bogotá,Criolo,37ZflmHTdxkSLQuT8w9NBs
2023,Work This Time,King Gizzard & The Lizard Wizard,6XYvaoDGE0VmRt83Jss9Sn
2023,Gatas Extraordinárias,Cássia Eller,10naVTwNjE50daQVrN0bXh
2023,America's Most Blunted (feat. Quasimoto),Madvillain,2aoFQUeHD1U7pL098lRsDU
2023,Velha Roupa Colorida,Elis Regina,0yFvXd36g5sNKYDi0Kkvl8
2023,Sense,King Gizzard & The Lizard Wizard,6XYvaoDGE0VmRt83Jss9Sn
2023,Infernal,Cássia Eller,10naVTwNjE50daQVrN0bXh
2023,Figaro,Madvillain,2aoFQUeHD1U7pL098lRsDU
2023,Come Down,Anderson .Paak,3jK9MiCrA42lLAdMGUZpwa
2023,Witchcraft,King Gizzard & The Lizard Wizard,6XYvaoDGE0VmRt83Jss9Sn
2023,Refuse / Resist,Sepultura,6JW8wliOEwaDZ231ZY7cf4
2023,Crosshairs,DANGERDOOM,0b3fYxnG6tlR0zLtBJd8DF
2023,Revólver,Dead Fish,7Lvg39k5XgXevGR767ikYI
2023,Hope,Descendents,1FGH4Bh7g9W6V4fUcKZWp5
2023,How We Met,Count Bass D,3P1ULKxhVEpywj0hogWT44
2023,Accordion,Madvillain,2aoFQUeHD1U7pL098lRsDU
2023,NINGUÉM SEGURA A GENTE,Planet Hemp,3nasa4yabzvUeb6DzejDYU
2023,BLACKOUT,Turnstile,2qnpHrOzdmOo1S4ox3j17x
2023,Slow Jam 1,King Gizzard & The Lizard Wizard,6XYvaoDGE0VmRt83Jss9Sn
2023,Song For The Dead,Queens of the Stone Age,4pejUc4iciQfgdX6OKulQn
2023,Domination,Pantera,14pVkFUHDL207LzLHtSA18
2023,MYSTERY,Turnstile,2qnpHrOzdmOo1S4ox3j17x
2023,Deep Fried Frenz,MF DOOM,2pAWfrd7WFF3XhVt9GooDL
2023,Hoje Eu Quero Sair Só,Lenine,4YLBdrR3DVSMncm785NH6C
2023,Backseat Freestyle,Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg
2023,I Don't Wanna Be Blind,Turnstile,2qnpHrOzdmOo1S4ox3j17x
2023,Beef Rapp,MF DOOM,2pAWfrd7WFF3XhVt9GooDL
2023,O Bom Maluco,Djonga,204IwDdaHE4ymGk9Kya2pY
2023,O Leãozinho - Nova Mixagem,Caetano Veloso,7HGNYPmbDrMkylWqeFCOIQ
2023,"Oba, Lá Vem Ela",Jorge Ben Jor,5JYtpnUKxAzXfHEYpOeeit
2023,One Beer,MF DOOM,2pAWfrd7WFF3XhVt9GooDL
2023,Guerreiro,Curumin,1W1k6LUPDR0l4zwvKR4YLI
2023,Pedras Pesadas,Mato Seco,2b3gMC15SnC8mwjnYiUXvx
2023,Transante,Lagum,5D56dZmhE9DgT01XixdHiD
2023,The Finest,MF DOOM,2pAWfrd7WFF3XhVt9GooDL
2023,Showdown - Instrumental,Slowy,2gqd19ANv8aoJ5mzI3DaZo
2023,O Côro Vai Comê,Charlie Brown Jr.,1on7ZQ2pvgeQF4vmIA09x5
2023,Sangue De Bairro,Chico Science,7HnkRhoGqYLTasI52iJoE7
2023,Rhinestone Cowboy,Madvillain,2aoFQUeHD1U7pL098lRsDU
2023,"Tenha Fé, Pois Amanhã um Lindo Dia Vai Nascer",Os Originais Do Samba,4gKqxjR0MkEKjqvO3Ctvpg
2023,estate,DRWN.,0h6JSIfoSSbXtaBWiUC4Wy
2023,Arrival,The Alchemist,0eVyjRhzZKke2KFYTcDkeu
2023,Potholderz,MF DOOM,2pAWfrd7WFF3XhVt9GooDL
2022,Tapanacara,Raul Seixas,7jrRQZg4FZq6dwpi3baKcu
2022,Tu És O MDC Da Minha Vida,Raul Seixas,7jrRQZg4FZq6dwpi3baKcu
